run,variable,2025-01-01,2025-01-31,2025-02-01,2025-02-28,2025-03-01,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31,2026-09-30,2026-10-31,2026-11-30,2026-12-31
base,Quantity,,100.0,,95.0,,90.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,95.0,90.0
base,Price,,10.0,,10.0,,9.8,10.0,10.0,9.8,10.0,10.0,9.8,10.0,10.0,9.8,10.0,10.0,9.8,10.0,10.0,9.8,10.0,10.0,9.8,10.0,10.0,9.8
base,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
best,Quantity,,120.0,,130.0,,140.0,120.0,130.0,140.0,120.0,130.0,140.0,120.0,130.0,140.0,120.0,130.0,140.0,120.0,130.0,140.0,120.0,130.0,140.0,120.0,130.0,140.0
best,Price,,9.2,,9.0,,8.8,9.2,9.0,8.8,9.2,9.0,8.8,9.2,9.0,8.8,9.2,9.0,8.8,9.2,9.0,8.8,9.2,9.0,8.8,9.2,9.0,8.8
best,DSO,45.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
worst,Quantity,,80.0,,70.0,,75.0,80.0,70.0,75.0,80.0,70.0,75.0,80.0,70.0,75.0,80.0,70.0,75.0,80.0,70.0,75.0,80.0,70.0,75.0,80.0,70.0,75.0
worst,Price,,11.5,,12.0,,12.3,11.5,12.0,12.3,11.5,12.0,12.3,11.5,12.0,12.3,11.5,12.0,12.3,11.5,12.0,12.3,11.5,12.0,12.3,11.5,12.0,12.3
worst,DSO,90.0,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
1,Quantity,,100.0,,130.0,,90.0,100.0,95.0,90.0,90.0,95.0,80.0,110.0,95.0,75.0,80.0,125.0,80.0,80.0,80.0,75.0,100.0,95.0,80.0,90.0,95.0,90.0
1,Price,,10.0,,9.0,,9.8,10.0,10.0,9.8,10.5,10.0,11.0,9.5,10.0,12.3,11.5,9.5,11.0,11.5,11.0,12.3,10.0,10.0,11.0,10.5,10.0,9.8
1,DSO,45.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
2,Quantity,,100.0,,95.0,,80.0,110.0,95.0,140.0,100.0,95.0,140.0,100.0,125.0,90.0,110.0,80.0,90.0,100.0,130.0,140.0,100.0,70.0,100.0,100.0,80.0,90.0
2,Price,,10.0,,10.0,,11.0,9.5,10.0,8.8,10.0,10.0,8.8,10.0,9.5,9.8,9.5,11.0,9.8,10.0,9.0,8.8,10.0,12.0,9.0,10.0,11.0,9.8
2,DSO,60.0,,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
3,Quantity,,80.0,,95.0,,90.0,90.0,70.0,90.0,110.0,125.0,90.0,100.0,70.0,140.0,100.0,95.0,90.0,110.0,95.0,90.0,80.0,125.0,90.0,100.0,95.0,100.0
3,Price,,11.5,,10.0,,9.8,10.5,12.0,9.8,9.5,9.5,9.8,10.0,12.0,8.8,10.0,10.0,9.8,9.5,10.0,9.8,11.5,9.5,9.8,10.0,10.0,9.0
3,DSO,90.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
4,Quantity,,120.0,,70.0,,100.0,100.0,125.0,75.0,100.0,80.0,90.0,80.0,95.0,90.0,100.0,95.0,140.0,100.0,95.0,90.0,110.0,95.0,90.0,110.0,130.0,75.0
4,Price,,9.2,,12.0,,9.0,10.0,9.5,12.3,10.0,11.0,9.8,11.5,10.0,9.8,10.0,10.0,8.8,10.0,10.0,9.8,9.5,10.0,9.8,9.5,9.0,12.3
4,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
5,Quantity,,90.0,,70.0,,90.0,80.0,80.0,90.0,100.0,130.0,90.0,100.0,125.0,90.0,100.0,95.0,100.0,110.0,70.0,80.0,100.0,125.0,90.0,120.0,95.0,100.0
5,Price,,10.5,,12.0,,9.8,11.5,11.0,9.8,10.0,9.0,9.8,10.0,9.5,9.8,10.0,10.0,9.0,9.5,12.0,11.0,10.0,9.5,9.8,9.2,10.0,9.0
5,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
6,Quantity,,110.0,,95.0,,75.0,100.0,130.0,75.0,80.0,70.0,90.0,80.0,95.0,100.0,100.0,95.0,90.0,100.0,125.0,100.0,100.0,95.0,90.0,100.0,125.0,80.0
6,Price,,9.5,,10.0,,12.3,10.0,9.0,12.3,11.5,12.0,9.8,11.5,10.0,9.0,10.0,10.0,9.8,10.0,9.5,9.0,10.0,10.0,9.8,10.0,9.5,11.0
6,DSO,90.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
7,Quantity,,100.0,,95.0,,90.0,100.0,95.0,90.0,100.0,95.0,100.0,120.0,95.0,90.0,120.0,70.0,90.0,90.0,95.0,90.0,90.0,95.0,100.0,100.0,95.0,90.0
7,Price,,10.0,,10.0,,9.8,10.0,10.0,9.8,10.0,10.0,9.0,9.2,10.0,9.8,9.2,12.0,9.8,10.5,10.0,9.8,10.5,10.0,9.0,10.0,10.0,9.8
7,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
8,Quantity,,100.0,,125.0,,100.0,120.0,95.0,100.0,120.0,95.0,75.0,100.0,70.0,80.0,90.0,130.0,75.0,100.0,95.0,90.0,120.0,70.0,75.0,80.0,70.0,90.0
8,Price,,10.0,,9.5,,9.0,9.2,10.0,9.0,9.2,10.0,12.3,10.0,12.0,11.0,10.5,9.0,12.3,10.0,10.0,9.8,9.2,12.0,12.3,11.5,12.0,9.8
8,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
9,Quantity,,80.0,,95.0,,140.0,80.0,80.0,90.0,100.0,95.0,80.0,90.0,95.0,100.0,100.0,95.0,140.0,110.0,95.0,80.0,100.0,95.0,90.0,100.0,95.0,90.0
9,Price,,11.5,,10.0,,8.8,11.5,11.0,9.8,10.0,10.0,11.0,10.5,10.0,9.0,10.0,10.0,8.8,9.5,10.0,11.0,10.0,10.0,9.8,10.0,10.0,9.8
9,DSO,60.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
10,Quantity,,120.0,,70.0,,90.0,100.0,130.0,75.0,110.0,95.0,140.0,100.0,70.0,90.0,100.0,95.0,90.0,100.0,95.0,100.0,100.0,70.0,90.0,120.0,80.0,90.0
10,Price,,9.2,,12.0,,9.8,10.0,9.0,12.3,9.5,10.0,8.8,10.0,12.0,9.8,10.0,10.0,9.8,10.0,10.0,9.0,10.0,12.0,9.8,9.2,11.0,9.8
10,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
11,Quantity,,100.0,,125.0,,80.0,100.0,95.0,90.0,100.0,70.0,90.0,100.0,130.0,75.0,120.0,125.0,90.0,80.0,80.0,90.0,120.0,130.0,100.0,80.0,95.0,75.0
11,Price,,10.0,,9.5,,11.0,10.0,10.0,9.8,10.0,12.0,9.8,10.0,9.0,12.3,9.2,9.5,9.8,11.5,11.0,9.8,9.2,9.0,9.0,11.5,10.0,12.3
11,DSO,90.0,,90.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
12,Quantity,,100.0,,95.0,,90.0,120.0,95.0,100.0,90.0,130.0,90.0,120.0,95.0,90.0,90.0,80.0,80.0,100.0,125.0,90.0,90.0,95.0,75.0,100.0,130.0,100.0
12,Price,,10.0,,10.0,,9.8,9.2,10.0,9.0,10.5,9.0,9.8,9.2,10.0,9.8,10.5,11.0,11.0,10.0,9.5,9.8,10.5,10.0,12.3,10.0,9.0,9.0
12,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
13,Quantity,,100.0,,95.0,,100.0,100.0,95.0,90.0,110.0,80.0,90.0,100.0,80.0,90.0,80.0,70.0,75.0,80.0,95.0,75.0,100.0,125.0,80.0,100.0,95.0,80.0
13,Price,,10.0,,10.0,,9.0,10.0,10.0,9.8,9.5,11.0,9.8,10.0,11.0,9.8,11.5,12.0,12.3,11.5,10.0,12.3,10.0,9.5,11.0,10.0,10.0,11.0
13,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
14,Quantity,,100.0,,130.0,,90.0,110.0,95.0,140.0,100.0,125.0,90.0,110.0,95.0,80.0,110.0,130.0,90.0,100.0,95.0,140.0,100.0,95.0,140.0,90.0,125.0,140.0
14,Price,,10.0,,9.0,,9.8,9.5,10.0,8.8,10.0,9.5,9.8,9.5,10.0,11.0,9.5,9.0,9.8,10.0,10.0,8.8,10.0,10.0,8.8,10.5,9.5,8.8
14,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
15,Quantity,,90.0,,80.0,,75.0,90.0,70.0,90.0,80.0,95.0,100.0,80.0,95.0,90.0,100.0,95.0,90.0,120.0,70.0,90.0,110.0,95.0,90.0,110.0,95.0,90.0
15,Price,,10.5,,11.0,,12.3,10.5,12.0,9.8,11.5,10.0,9.0,11.5,10.0,9.8,10.0,10.0,9.8,9.2,12.0,9.8,9.5,10.0,9.8,9.5,10.0,9.8
15,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
16,Quantity,,110.0,,95.0,,90.0,100.0,125.0,80.0,100.0,95.0,75.0,100.0,125.0,100.0,100.0,95.0,100.0,100.0,125.0,90.0,80.0,80.0,90.0,100.0,70.0,90.0
