# company: ACME S.p.A.
# currency: EUR
scenario,date,kpi,value
base,2025-12-31,revenue,1229488.18
base,2025-12-31,ebitda,279608.87
base,2025-12-31,net_income,796161.77
base,2026-12-31,revenue,1133410.63
base,2026-12-31,ebitda,1518221.7
base,2026-12-31,net_income,710200.6
base,2027-12-31,revenue,1064487.65
base,2027-12-31,ebitda,490653.19
base,2027-12-31,net_income,1012201.58
base,2028-12-31,revenue,835738.41
base,2028-12-31,ebitda,82597.59
base,2028-12-31,net_income,805245.57
best,2025-12-31,revenue,1183843.57
best,2025-12-31,ebitda,1682231.41
best,2025-12-31,net_income,1819273.66
best,2026-12-31,revenue,1331412.36
best,2026-12-31,ebitda,442661.58
best,2026-12-31,net_income,1292176.39
best,2027-12-31,revenue,1804810.89
best,2027-12-31,ebitda,246177.98
best,2027-12-31,net_income,1587316.58
best,2028-12-31,revenue,871354.15
best,2028-12-31,ebitda,1196349.95
best,2028-12-31,net_income,812652.9
worst,2025-12-31,revenue,824871.14
worst,2025-12-31,ebitda,1709704.61
worst,2025-12-31,net_income,1512878.44
worst,2026-12-31,revenue,467432.32
worst,2026-12-31,ebitda,1652026.42
worst,2026-12-31,net_income,854996.09
worst,2027-12-31,revenue,935979.95
worst,2027-12-31,ebitda,1673119.85
worst,2027-12-31,net_income,1111060.32
worst,2028-12-31,revenue,1731650.2
worst,2028-12-31,ebitda,551694.75
worst,2028-12-31,net_income,300027.36
Sim_00004,2025-12-31,revenue,1075378.75
Sim_00004,2025-12-31,ebitda,1144573.09
Sim_00004,2025-12-31,net_income,1069853.7
Sim_00004,2026-12-31,revenue,467787.92
Sim_00004,2026-12-31,ebitda,304267.12
Sim_00004,2026-12-31,net_income,236919.82
Sim_00004,2027-12-31,revenue,521746.01
Sim_00004,2027-12-31,ebitda,843941.62
Sim_00004,2027-12-31,net_income,1875079.83
Sim_00004,2028-12-31,revenue,1765298.49
Sim_00004,2028-12-31,ebitda,96226.57
Sim_00004,2028-12-31,net_income,1357144.66
Sim_00005,2025-12-31,revenue,1222383.84
Sim_00005,2025-12-31,ebitda,1350612.95
Sim_00005,2025-12-31,net_income,1061807.96
Sim_00005,2026-12-31,revenue,1898639.44
Sim_00005,2026-12-31,ebitda,811531.65
Sim_00005,2026-12-31,net_income,1262505.79
